Force_N,force_value
0.095,0.08
0.196,0.08
0.296,0.08
-0.005,0.08
0.296,0.08
0.196,0.08
0.095,0.08
0.296,0.08
-0.005,0.08
0.196,0.08
0.397,0.08
-0.005,0.08
0.296,0.08
0.095,0.08
0.095,0.08
0.397,0.08
-0.005,0.08
0.196,0.08
0.296,0.08
-0.005,0.08
0.296,0.08
0.196,0.08
0.095,0.08
0.497,0.08
5.321,0.08
16.274,0.08
16.776,0.08
16.977,0.08
16.776,0.08
16.575,0.08
16.575,0.08
16.676,0.08
16.374,0.08
16.676,0.08
16.073,0.08
15.972,0.08
15.972,0.08
15.972,0.08
16.073,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.972,0.08
15.771,0.08
15.972,0.08
15.872,0.08
15.771,0.08
2.005,0.08
0.397,0.08
0.296,0.08
-0.005,0.08
0.296,0.08
-0.005,0.08
0.095,0.08
0.296,0.08
-0.005,0.08
0.196,0.08
0.196,0.08
-0.005,0.08
0.296,0.08
-0.005,0.08
0.095,0.08
0.397,0.08
0.095,0.08
0.196,0.08
0.196,0.08
-0.005,0.08
0.296,0.08
-0.005,0.08
0.095,1.07
0.296,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.94
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.21
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.31
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,1.65
,1.43
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,1.1
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.25
,0.08
,0.99
,3.81
,5.77
,8.45
,9.3
,9.57
,11.04
,12.39
,13.45
,14.27
,14.42
,14.42
,14.38
,14.63
,14.81
,15.15
,14.97
,14.76
,14.92
,14.9
,14.9
,14.9
,14.92
,14.94
,14.86
,15.04
,14.96
,15.02
,15.1
,14.96
,15.15
,14.98
,15.09
,15.03
,15.26
,15.21
,15.59
,15.09
,15.04
,15.19
,16.05
,15.13
,15.23
,15.21
,15.23
,15.21
,15.19
,15.23
,15.28
,16.23
,15.25
,15.26
,15.29
,15.28
,14.71
,15.19
,15.38
,15.28
,15.4
,14.26
,15.28
,15.26
,15.28
,13.65
,15.28
,15.43
,15.54
,15.42
,15.29
,15.3
,15.4
,15.59
,15.37
,15.4
,15.42
,15.4
,15.23
,15.51
,15.51
,15.47
,15.53
,15.26
,15.6
,15.51
,15.47
,15.46
,15.48
,15.28
,15.3
,15.9
,15.43
,15.51
,15.58
,15.51
,15.53
,15.58
,15.43
,15.3
,15.53
,15.49
,15.51
,15.65
,15.58
,15.71
,15.58
,15.51
,15.58
,15.9
,15.46
,15.43
,15.51
,15.21
,15.71
,15.57
,15.73
,15.75
,15.43
,15.6
,15.6
,15.63
,15.58
,15.62
,15.62
,15.72
,15.4
,15.63
,15.47
,15.75
,15.58
,15.66
,15.67
,15.66
,15.6
,15.71
,15.64
,15.62
,15.73
,15.63
,15.62
,15.64
,15.71
,16.44
,15.66
,15.6
,15.3
,15.4
,15.71
,15.53
,15.54
,15.75
,15.71
,15.73
,15.72
,15.62
,15.62
,15.73
,15.62
,15.62
,15.78
,15.73
,15.66
,15.75
,15.76
,15.67
,15.64
,15.81
,15.6
,14.42
,12.01
,9.21
,6.42
,4.41
,3.14
,2.08
,0.78
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.13
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.31
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
,0.08
